acc_pitch,acc_roll,acc_yaw,gyro_pitch,gyro_roll,gyro_yaw,magno_pitch,magno_roll,magno_yaw,y
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.21,-44.27,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.22,-44.27,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.21,-44.27,2
0.74,-0.0,-45.0,-0.1,-0.1,-0.1,12.63,10.23,-44.27,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.64,10.22,-44.27,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.22,-44.27,2
0.74,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.22,-44.27,2
0.74,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.22,-44.27,2
0.74,-0.0,-45.0,-0.1,-0.1,-0.1,12.64,10.23,-44.27,2
0.74,-0.0,-45.0,-0.1,-0.1,-0.1,12.65,10.21,-44.27,2
0.74,-0.0,-45.0,-0.1,-0.1,-0.1,12.66,10.22,-44.27,2
0.61,-4.71,-45.0,-74.21,11.1,-11.1,11.65,9.78,-44.39,2
-1.62,-2.36,-44.99,0.0,0.0,-45.0,8.29,7.23,-44.69,2
9.32,-1.66,-44.62,53.29,9.89,30.17,15.51,7.94,-43.92,2
0.79,-8.06,-45.0,-55.01,-0.0,29.83,15.23,6.46,-43.96,2
1.03,1.62,-45.0,7.12,-0.0,-44.78,16.0,6.37,-43.85,2
2.21,1.33,-44.98,-0.1,-0.1,-0.1,17.34,6.09,-43.65,2
2.21,1.18,-44.98,-0.1,-0.1,-0.1,17.34,6.09,-43.65,2
2.21,1.18,-44.98,-0.1,-0.1,-0.1,17.33,6.09,-43.65,2
2.21,1.33,-44.98,-0.1,-0.1,-0.1,17.34,6.09,-43.65,2
2.21,1.18,-44.98,-0.1,-0.1,-0.1,17.33,6.09,-43.65,2
2.21,1.33,-44.98,-0.1,-0.1,-0.1,17.34,6.09,-43.65,2
2.21,1.33,-44.98,-0.1,-0.1,-0.1,17.34,6.09,-43.65,2
2.21,1.33,-44.98,-0.1,-0.1,-0.1,17.34,6.09,-43.65,2
2.21,1.18,-44.98,-0.1,-0.1,-0.1,17.35,6.09,-43.65,2
2.21,1.18,-44.98,-0.1,-0.1,-0.1,17.35,6.1,-43.65,2
2.36,1.18,-44.98,-0.1,-0.1,-0.1,15.2,7.34,-43.96,2
2.36,1.33,-44.98,-0.1,-0.1,-0.1,15.21,7.34,-43.96,2
2.36,1.18,-44.98,-0.1,-0.1,-0.1,15.21,7.34,-43.96,2
2.36,1.33,-44.98,-0.1,-0.1,-0.1,15.19,7.33,-43.96,2
2.36,1.18,-44.98,-0.1,-0.1,-0.1,15.19,7.33,-43.96,2
2.36,1.18,-44.98,-0.1,-0.1,-0.1,15.19,7.33,-43.96,2
2.36,1.18,-44.98,-0.1,-0.1,-0.1,15.19,7.33,-43.96,2
2.36,1.18,-44.98,-0.1,-0.1,-0.1,15.19,7.33,-43.96,2
2.36,1.18,-44.98,-0.1,-0.1,-0.1,15.19,7.34,-43.96,2
-4.72,-29.73,-44.87,22.99,-40.61,-40.61,13.71,6.62,-44.16,2
-7.9,-26.82,-44.66,-35.26,-35.26,-35.26,13.02,6.96,-44.24,2
-1.33,-0.44,-44.99,-0.1,-0.1,-0.1,15.14,6.52,-43.97,2
-1.33,-0.44,-44.99,-0.1,-0.1,-0.1,15.14,6.52,-43.97,2
-1.33,-0.44,-44.99,-0.1,-0.1,-0.1,15.15,6.52,-43.97,2
-1.33,-0.44,-44.99,-0.1,-0.1,-0.1,15.16,6.52,-43.97,2
-1.33,-0.44,-44.99,-0.1,-0.1,-0.1,15.15,6.51,-43.97,2
-1.33,-0.44,-44.99,-0.1,-0.1,-0.1,15.16,6.52,-43.97,2
-1.33,-0.44,-44.99,-0.1,-0.1,-0.1,15.17,6.56,-43.97,2
-1.33,-0.44,-44.99,-0.1,-0.1,-0.1,15.15,6.54,-43.97,2
4.14,-1.99,-44.93,-12.57,-40.76,-43.77,3.45,-0.76,-44.95,2
0.59,0.0,-45.0,-0.1,-0.1,-0.1,-1.37,-4.69,-44.99,2
0.59,0.0,-45.0,-0.1,-0.1,-0.1,9.55,5.58,-44.6,2
-2.77,-23.83,-44.96,1.93,28.85,44.98,11.59,6.31,-44.4,2
-25.31,-40.82,-39.53,-12.33,37.61,43.92,14.02,4.44,-44.13,2
55.44,20.86,-25.29,45.72,-42.29,-14.12,15.86,9.62,-43.86,2
